task_id,condition,attempt,emotion,layer,score
parse_duration,baseline,0,calm,9,0.3134608268737793
parse_duration,baseline,0,calm,14,0.3373112976551056
parse_duration,baseline,0,calm,18,0.4100525379180908
parse_duration,baseline,0,patient,9,0.31704992055892944
parse_duration,baseline,0,patient,14,0.3406490087509155
parse_duration,baseline,0,patient,18,0.4256235361099243
parse_duration,baseline,0,confident,9,0.2789873480796814
parse_duration,baseline,0,confident,14,0.2998209297657013
parse_duration,baseline,0,confident,18,0.3753260672092438
parse_duration,baseline,0,frustrated,9,0.31486067175865173
parse_duration,baseline,0,frustrated,14,0.34073323011398315
parse_duration,baseline,0,frustrated,18,0.4301522374153137
parse_duration,baseline,0,desperate,9,0.3056412935256958
parse_duration,baseline,0,desperate,14,0.3379826545715332
parse_duration,baseline,0,desperate,18,0.41670405864715576
parse_duration,baseline,0,stuck,9,0.3136598467826843
parse_duration,baseline,0,stuck,14,0.32814186811447144
parse_duration,baseline,0,stuck,18,0.4004802703857422
parse_duration,baseline,0,stressed,9,0.3037571310997009
parse_duration,baseline,0,stressed,14,0.30967459082603455
parse_duration,baseline,0,stressed,18,0.36679771542549133
parse_duration,baseline,1,calm,9,0.35287460684776306
parse_duration,baseline,1,calm,14,0.39410918951034546
parse_duration,baseline,1,calm,18,0.4590701162815094
parse_duration,baseline,1,patient,9,0.3598857820034027
parse_duration,baseline,1,patient,14,0.40134069323539734
parse_duration,baseline,1,patient,18,0.48145559430122375
parse_duration,baseline,1,confident,9,0.31385356187820435
parse_duration,baseline,1,confident,14,0.3586454689502716
parse_duration,baseline,1,confident,18,0.4301814138889313
parse_duration,baseline,1,frustrated,9,0.3545739948749542
parse_duration,baseline,1,frustrated,14,0.4020482897758484
parse_duration,baseline,1,frustrated,18,0.4796035885810852
parse_duration,baseline,1,desperate,9,0.3461037278175354
parse_duration,baseline,1,desperate,14,0.3987251818180084
parse_duration,baseline,1,desperate,18,0.4694535732269287
parse_duration,baseline,1,stuck,9,0.34929248690605164
parse_duration,baseline,1,stuck,14,0.389699786901474
parse_duration,baseline,1,stuck,18,0.45616722106933594
parse_duration,baseline,1,stressed,9,0.33688393235206604
parse_duration,baseline,1,stressed,14,0.36338093876838684
parse_duration,baseline,1,stressed,18,0.4146481454372406
parse_duration,baseline,2,calm,9,0.3692428171634674
parse_duration,baseline,2,calm,14,0.4059203565120697
parse_duration,baseline,2,calm,18,0.46566036343574524
parse_duration,baseline,2,patient,9,0.376107782125473
parse_duration,baseline,2,patient,14,0.4147284924983978
parse_duration,baseline,2,patient,18,0.49276697635650635
parse_duration,baseline,2,confident,9,0.3290994465351105
parse_duration,baseline,2,confident,14,0.36989066004753113
parse_duration,baseline,2,confident,18,0.4372272789478302
parse_duration,baseline,2,frustrated,9,0.3714374005794525
parse_duration,baseline,2,frustrated,14,0.4155614376068115
parse_duration,baseline,2,frustrated,18,0.48735275864601135
parse_duration,baseline,2,desperate,9,0.3630046844482422
parse_duration,baseline,2,desperate,14,0.40981242060661316
parse_duration,baseline,2,desperate,18,0.4784376323223114
parse_duration,baseline,2,stuck,9,0.36314254999160767
parse_duration,baseline,2,stuck,14,0.4006073474884033
parse_duration,baseline,2,stuck,18,0.4640582203865051
parse_duration,baseline,2,stressed,9,0.348628431558609
parse_duration,baseline,2,stressed,14,0.3704315423965454
parse_duration,baseline,2,stressed,18,0.4168344736099243
parse_duration,desperate_-1.0,0,calm,9,0.3134608268737793
parse_duration,desperate_-1.0,0,calm,14,0.3373112976551056
parse_duration,desperate_-1.0,0,calm,18,0.4100525379180908
parse_duration,desperate_-1.0,0,patient,9,0.31704992055892944
parse_duration,desperate_-1.0,0,patient,14,0.3406490087509155
parse_duration,desperate_-1.0,0,patient,18,0.4256235361099243
parse_duration,desperate_-1.0,0,confident,9,0.2789873480796814
parse_duration,desperate_-1.0,0,confident,14,0.2998209297657013
parse_duration,desperate_-1.0,0,confident,18,0.3753260672092438
parse_duration,desperate_-1.0,0,frustrated,9,0.31486067175865173
parse_duration,desperate_-1.0,0,frustrated,14,0.34073323011398315
parse_duration,desperate_-1.0,0,frustrated,18,0.4301522374153137
parse_duration,desperate_-1.0,0,desperate,9,0.3056412935256958
parse_duration,desperate_-1.0,0,desperate,14,0.3379826545715332
parse_duration,desperate_-1.0,0,desperate,18,0.41670405864715576
parse_duration,desperate_-1.0,0,stuck,9,0.3136598467826843
parse_duration,desperate_-1.0,0,stuck,14,0.32814186811447144
parse_duration,desperate_-1.0,0,stuck,18,0.4004802703857422
parse_duration,desperate_-1.0,0,stressed,9,0.3037571310997009
parse_duration,desperate_-1.0,0,stressed,14,0.30967459082603455
parse_duration,desperate_-1.0,0,stressed,18,0.36679771542549133
parse_duration,desperate_-1.0,1,calm,9,0.34929341077804565
parse_duration,desperate_-1.0,1,calm,14,0.3926056921482086
parse_duration,desperate_-1.0,1,calm,18,0.4584490656852722
parse_duration,desperate_-1.0,1,patient,9,0.3566370904445648
parse_duration,desperate_-1.0,1,patient,14,0.39976760745048523
parse_duration,desperate_-1.0,1,patient,18,0.48078709840774536
parse_duration,desperate_-1.0,1,confident,9,0.3105069696903229
parse_duration,desperate_-1.0,1,confident,14,0.3573310971260071
parse_duration,desperate_-1.0,1,confident,18,0.42953622341156006
parse_duration,desperate_-1.0,1,frustrated,9,0.35181206464767456
parse_duration,desperate_-1.0,1,frustrated,14,0.4005785584449768
parse_duration,desperate_-1.0,1,frustrated,18,0.47886714339256287
parse_duration,desperate_-1.0,1,desperate,9,0.34284287691116333
parse_duration,desperate_-1.0,1,desperate,14,0.3971766531467438
parse_duration,desperate_-1.0,1,desperate,18,0.4684644341468811
parse_duration,desperate_-1.0,1,stuck,9,0.34537217020988464
parse_duration,desperate_-1.0,1,stuck,14,0.3880189061164856
parse_duration,desperate_-1.0,1,stuck,18,0.4554412066936493
parse_duration,desperate_-1.0,1,stressed,9,0.33322080969810486
parse_duration,desperate_-1.0,1,stressed,14,0.36134347319602966
parse_duration,desperate_-1.0,1,stressed,18,0.4137606918811798
parse_duration,desperate_-1.0,2,calm,9,0.36741670966148376
parse_duration,desperate_-1.0,2,calm,14,0.40429726243019104
parse_duration,desperate_-1.0,2,calm,18,0.4654669761657715
parse_duration,desperate_-1.0,2,patient,9,0.37487339973449707
parse_duration,desperate_-1.0,2,patient,14,0.4132077991962433
parse_duration,desperate_-1.0,2,patient,18,0.49402934312820435
parse_duration,desperate_-1.0,2,confident,9,0.32854795455932617
parse_duration,desperate_-1.0,2,confident,14,0.369812935590744
parse_duration,desperate_-1.0,2,confident,18,0.4390559494495392
parse_duration,desperate_-1.0,2,frustrated,9,0.3715659976005554
parse_duration,desperate_-1.0,2,frustrated,14,0.4158175587654114
parse_duration,desperate_-1.0,2,frustrated,18,0.49050092697143555
parse_duration,desperate_-1.0,2,desperate,9,0.3624272346496582
parse_duration,desperate_-1.0,2,desperate,14,0.40950778126716614
parse_duration,desperate_-1.0,2,desperate,18,0.4803858995437622
parse_duration,desperate_-1.0,2,stuck,9,0.3621782064437866
parse_duration,desperate_-1.0,2,stuck,14,0.40018847584724426
parse_duration,desperate_-1.0,2,stuck,18,0.466397762298584
parse_duration,desperate_-1.0,2,stressed,9,0.34741830825805664
parse_duration,desperate_-1.0,2,stressed,14,0.36888599395751953
parse_duration,desperate_-1.0,2,stressed,18,0.41743385791778564
parse_duration,desperate_+1.0,0,calm,9,0.3134608268737793
parse_duration,desperate_+1.0,0,calm,14,0.3373112976551056
parse_duration,desperate_+1.0,0,calm,18,0.4100525379180908
parse_duration,desperate_+1.0,0,patient,9,0.31704992055892944
parse_duration,desperate_+1.0,0,patient,14,0.3406490087509155
parse_duration,desperate_+1.0,0,patient,18,0.4256235361099243
parse_duration,desperate_+1.0,0,confident,9,0.2789873480796814
parse_duration,desperate_+1.0,0,confident,14,0.2998209297657013
parse_duration,desperate_+1.0,0,confident,18,0.3753260672092438
parse_duration,desperate_+1.0,0,frustrated,9,0.31486067175865173
parse_duration,desperate_+1.0,0,frustrated,14,0.34073323011398315
parse_duration,desperate_+1.0,0,frustrated,18,0.4301522374153137
parse_duration,desperate_+1.0,0,desperate,9,0.3056412935256958
parse_duration,desperate_+1.0,0,desperate,14,0.3379826545715332
parse_duration,desperate_+1.0,0,desperate,18,0.41670405864715576
parse_duration,desperate_+1.0,0,stuck,9,0.3136598467826843
