prompt_id,stage,emotion,layer,score
start,0,calm,10,0.41187912225723267
start,0,calm,16,0.44918400049209595
start,0,calm,21,0.4683018624782562
start,0,patient,10,0.4578132629394531
start,0,patient,16,0.49748799204826355
start,0,patient,21,0.5303158760070801
start,0,confident,10,0.47650888562202454
start,0,confident,16,0.47626620531082153
start,0,confident,21,0.47354915738105774
start,0,frustrated,10,0.4481962025165558
start,0,frustrated,16,0.4890941083431244
start,0,frustrated,21,0.5233672261238098
start,0,desperate,10,0.4238123893737793
start,0,desperate,16,0.46184101700782776
start,0,desperate,21,0.4791792631149292
start,0,stuck,10,0.44591638445854187
start,0,stuck,16,0.47589701414108276
start,0,stuck,21,0.49391016364097595
start,0,stressed,10,0.4234980642795563
start,0,stressed,16,0.4518607258796692
start,0,stressed,21,0.46863558888435364
first_failure,1,calm,10,0.4856921136379242
first_failure,1,calm,16,0.484718918800354
first_failure,1,calm,21,0.4807625114917755
first_failure,1,patient,10,0.5258619785308838
first_failure,1,patient,16,0.5302493572235107
first_failure,1,patient,21,0.5403213500976562
first_failure,1,confident,10,0.541522741317749
first_failure,1,confident,16,0.5429490208625793
first_failure,1,confident,21,0.5368674397468567
first_failure,1,frustrated,10,0.5788305401802063
first_failure,1,frustrated,16,0.5812671780586243
first_failure,1,frustrated,21,0.5892674922943115
first_failure,1,desperate,10,0.5239803194999695
first_failure,1,desperate,16,0.5180463790893555
first_failure,1,desperate,21,0.5207169055938721
first_failure,1,stuck,10,0.5733684301376343
first_failure,1,stuck,16,0.5650724172592163
first_failure,1,stuck,21,0.5707035064697266
first_failure,1,stressed,10,0.5017232298851013
first_failure,1,stressed,16,0.4754055440425873
first_failure,1,stressed,21,0.47912904620170593
repeated_failure,2,calm,10,0.49664467573165894
repeated_failure,2,calm,16,0.4906218647956848
repeated_failure,2,calm,21,0.4746845066547394
repeated_failure,2,patient,10,0.527571976184845
repeated_failure,2,patient,16,0.5296483635902405
repeated_failure,2,patient,21,0.517153799533844
repeated_failure,2,confident,10,0.5411696434020996
repeated_failure,2,confident,16,0.5418711304664612
repeated_failure,2,confident,21,0.5294995307922363
repeated_failure,2,frustrated,10,0.6070103645324707
repeated_failure,2,frustrated,16,0.606052577495575
repeated_failure,2,frustrated,21,0.6079466938972473
repeated_failure,2,desperate,10,0.5183791518211365
repeated_failure,2,desperate,16,0.5126474499702454
repeated_failure,2,desperate,21,0.504989504814148
repeated_failure,2,stuck,10,0.5686807036399841
repeated_failure,2,stuck,16,0.5717377662658691
repeated_failure,2,stuck,21,0.561326801776886
repeated_failure,2,stressed,10,0.5333408713340759
repeated_failure,2,stressed,16,0.5086427330970764
repeated_failure,2,stressed,21,0.5058946013450623
hidden_tests,3,calm,10,0.4186427891254425
hidden_tests,3,calm,16,0.423721045255661
hidden_tests,3,calm,21,0.3983776271343231
hidden_tests,3,patient,10,0.4486090838909149
hidden_tests,3,patient,16,0.45284610986709595
hidden_tests,3,patient,21,0.43668854236602783
hidden_tests,3,confident,10,0.4545024037361145
hidden_tests,3,confident,16,0.46580392122268677
hidden_tests,3,confident,21,0.46036168932914734
hidden_tests,3,frustrated,10,0.46764329075813293
hidden_tests,3,frustrated,16,0.4698100686073303
hidden_tests,3,frustrated,21,0.4758763611316681
hidden_tests,3,desperate,10,0.4499383270740509
hidden_tests,3,desperate,16,0.4627667963504791
hidden_tests,3,desperate,21,0.4544084668159485
hidden_tests,3,stuck,10,0.4679560661315918
hidden_tests,3,stuck,16,0.4729711413383484
hidden_tests,3,stuck,21,0.4743057191371918
hidden_tests,3,stressed,10,0.4686076045036316
hidden_tests,3,stressed,16,0.4675493836402893
hidden_tests,3,stressed,21,0.4685313105583191
deadline_pressure,4,calm,10,0.5334160923957825
deadline_pressure,4,calm,16,0.524198591709137
deadline_pressure,4,calm,21,0.5083675980567932
deadline_pressure,4,patient,10,0.574988067150116
deadline_pressure,4,patient,16,0.5768306851387024
deadline_pressure,4,patient,21,0.5758861303329468
deadline_pressure,4,confident,10,0.5611159801483154
deadline_pressure,4,confident,16,0.5468477010726929
deadline_pressure,4,confident,21,0.5157201290130615
deadline_pressure,4,frustrated,10,0.5694983005523682
deadline_pressure,4,frustrated,16,0.5585805177688599
deadline_pressure,4,frustrated,21,0.5535796880722046
deadline_pressure,4,desperate,10,0.6036975979804993
deadline_pressure,4,desperate,16,0.5923550128936768
deadline_pressure,4,desperate,21,0.5726744532585144
deadline_pressure,4,stuck,10,0.573008120059967
deadline_pressure,4,stuck,16,0.549876868724823
deadline_pressure,4,stuck,21,0.5406780242919922
deadline_pressure,4,stressed,10,0.5595536828041077
deadline_pressure,4,stressed,16,0.5380311012268066
deadline_pressure,4,stressed,21,0.5105338096618652
