prompt_id,stage,emotion,layer,score
start,0,calm,10,0.2926390469074249
start,0,calm,16,0.3261726200580597
start,0,calm,21,0.39795222878456116
start,0,patient,10,0.3263264298439026
start,0,patient,16,0.3683692216873169
start,0,patient,21,0.4368289113044739
start,0,confident,10,0.3196897804737091
start,0,confident,16,0.39539027214050293
start,0,confident,21,0.4356071352958679
start,0,frustrated,10,0.3693488538265228
start,0,frustrated,16,0.40630093216896057
start,0,frustrated,21,0.47064441442489624
start,0,desperate,10,0.28212812542915344
start,0,desperate,16,0.35658586025238037
start,0,desperate,21,0.42896634340286255
start,0,stuck,10,0.3172152638435364
start,0,stuck,16,0.38113635778427124
start,0,stuck,21,0.4340044856071472
start,0,stressed,10,0.29332587122917175
start,0,stressed,16,0.3343519866466522
start,0,stressed,21,0.40310758352279663
first_failure,1,calm,10,0.4380766749382019
first_failure,1,calm,16,0.44758522510528564
first_failure,1,calm,21,0.4197652041912079
first_failure,1,patient,10,0.46783021092414856
first_failure,1,patient,16,0.5019222497940063
first_failure,1,patient,21,0.47104281187057495
first_failure,1,confident,10,0.4368527829647064
first_failure,1,confident,16,0.4884604513645172
first_failure,1,confident,21,0.4623424708843231
first_failure,1,frustrated,10,0.5076963901519775
first_failure,1,frustrated,16,0.5459114909172058
first_failure,1,frustrated,21,0.5076211094856262
first_failure,1,desperate,10,0.4601733088493347
first_failure,1,desperate,16,0.5192495584487915
first_failure,1,desperate,21,0.4923977255821228
first_failure,1,stuck,10,0.4879142642021179
first_failure,1,stuck,16,0.5069611668586731
first_failure,1,stuck,21,0.48025310039520264
first_failure,1,stressed,10,0.4584502875804901
first_failure,1,stressed,16,0.45794522762298584
first_failure,1,stressed,21,0.438762366771698
repeated_failure,2,calm,10,0.44163933396339417
repeated_failure,2,calm,16,0.44830018281936646
repeated_failure,2,calm,21,0.4119383990764618
repeated_failure,2,patient,10,0.464691162109375
repeated_failure,2,patient,16,0.493470162153244
repeated_failure,2,patient,21,0.4547123908996582
repeated_failure,2,confident,10,0.4584065079689026
repeated_failure,2,confident,16,0.48724165558815
repeated_failure,2,confident,21,0.45744451880455017
repeated_failure,2,frustrated,10,0.5285748243331909
repeated_failure,2,frustrated,16,0.5351871848106384
repeated_failure,2,frustrated,21,0.5003958344459534
repeated_failure,2,desperate,10,0.4500086307525635
repeated_failure,2,desperate,16,0.48837029933929443
repeated_failure,2,desperate,21,0.4553295969963074
repeated_failure,2,stuck,10,0.4944779872894287
repeated_failure,2,stuck,16,0.5163354277610779
repeated_failure,2,stuck,21,0.4592610001564026
repeated_failure,2,stressed,10,0.45618030428886414
repeated_failure,2,stressed,16,0.46457982063293457
repeated_failure,2,stressed,21,0.42814359068870544
hidden_tests,3,calm,10,0.45569536089897156
hidden_tests,3,calm,16,0.44486379623413086
hidden_tests,3,calm,21,0.43844714760780334
hidden_tests,3,patient,10,0.4158112704753876
hidden_tests,3,patient,16,0.44266414642333984
hidden_tests,3,patient,21,0.43317243456840515
hidden_tests,3,confident,10,0.3693293631076813
hidden_tests,3,confident,16,0.4068862199783325
hidden_tests,3,confident,21,0.4178347885608673
hidden_tests,3,frustrated,10,0.4645523428916931
hidden_tests,3,frustrated,16,0.4579078257083893
hidden_tests,3,frustrated,21,0.4544075131416321
hidden_tests,3,desperate,10,0.41706612706184387
hidden_tests,3,desperate,16,0.45729860663414
hidden_tests,3,desperate,21,0.45241430401802063
hidden_tests,3,stuck,10,0.4343135952949524
hidden_tests,3,stuck,16,0.4651077091693878
hidden_tests,3,stuck,21,0.4486989378929138
hidden_tests,3,stressed,10,0.47926196455955505
hidden_tests,3,stressed,16,0.4883621335029602
hidden_tests,3,stressed,21,0.47741109132766724
deadline_pressure,4,calm,10,0.5384946465492249
deadline_pressure,4,calm,16,0.5569818019866943
deadline_pressure,4,calm,21,0.5533375144004822
deadline_pressure,4,patient,10,0.5459396243095398
deadline_pressure,4,patient,16,0.5821294188499451
deadline_pressure,4,patient,21,0.5770773887634277
deadline_pressure,4,confident,10,0.4663601815700531
deadline_pressure,4,confident,16,0.5150675177574158
deadline_pressure,4,confident,21,0.5245535969734192
deadline_pressure,4,frustrated,10,0.5589472651481628
deadline_pressure,4,frustrated,16,0.5727773308753967
deadline_pressure,4,frustrated,21,0.563701868057251
deadline_pressure,4,desperate,10,0.4985071122646332
deadline_pressure,4,desperate,16,0.5713930130004883
deadline_pressure,4,desperate,21,0.5660486817359924
deadline_pressure,4,stuck,10,0.49791547656059265
deadline_pressure,4,stuck,16,0.5699138045310974
deadline_pressure,4,stuck,21,0.557317316532135
deadline_pressure,4,stressed,10,0.5205132365226746
deadline_pressure,4,stressed,16,0.5516864061355591
deadline_pressure,4,stressed,21,0.5491989254951477
